year,ticker,comname,fieldid,fieldname,value,valuescore
2021,XOM,EXXON MOBIL CORPORATION,1,ESGScore,B+,0.7277302650
2021,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5726950355
2021,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,70,
2021,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2030,
2022,XOM,EXXON MOBIL CORPORATION,1,ESGScore,B+,0.6818308883
2022,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5553633218
2022,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,70,
2022,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2030,
2023,XOM,EXXON MOBIL CORPORATION,1,ESGScore,B,0.6424286636
2023,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5492957746
2023,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,70,
2023,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2030,
2024,XOM,EXXON MOBIL CORPORATION,1,ESGScore,B,0.6043907148
2024,XOM,EXXON MOBIL CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5403508772
2024,XOM,EXXON MOBIL CORPORATION,99,EmissionReductionTargetPercentage,100,
2024,XOM,EXXON MOBIL CORPORATION,100,EmissionReductionTargetYear,2030,
